Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /Lections,441,0,11,12.644463582760935,7.167162002588157,93.4686880063964,6288.0,3.6986343594819373,0.0,11,13,14,15,18,22,31,42,93,93,93
GET,GET /Metaphors,215,0,10,12.351905744147844,6.0595039976760745,82.15750999806914,1424.0,1.8031890868222595,0.0,10,12,13,13,17,26,48,57,82,82,82
GET,GET /Problem_marks,317,0,10,11.452103511005976,6.031103999703191,80.70200499787461,1514.0,2.6586555373146803,0.0,10,11,13,13,17,22,28,30,81,81,81
GET,GET /Records,589,0,12,13.633491405666765,8.240514005592559,66.05082500027493,2491.0,4.93989940529447,0.0,12,13,15,16,20,23,34,43,66,66,66
GET,GET /Students,737,0,7,8.665120297175465,3.79209200036712,88.85241000098176,1803.0,6.181164451107001,0.0,7,8,9,10,14,19,31,42,89,89,89
GET,GET /Students/search,115,0,6,7.840160365056995,4.204511998977978,29.89075799996499,385.4347826086956,0.9644964883002785,0.0,6,7,9,9,13,18,21,29,30,30,30
GET,GET /Teachers,472,0,7,8.374084063689224,4.380120000860188,67.82340199424652,1564.0,3.9586290650237514,0.0,7,8,9,10,13,16,23,34,68,68,68
,Aggregated,2886,0,9,10.787488290012877,3.79209200036712,93.4686880063964,2473.1978516978515,24.204668393344377,0.0,9,11,12,13,17,21,30,40,82,93,93
